S.No. | Gazette No. | Relevant to Automobile Industry | Title | Source Link
1 | CG-DL-E-12092026-276154 | No | Ajmer Cantt Board | https://egazette.gov.in/RecentUploads.aspx?Category=6
2 | CG-DL-E-12092026-276153 | Yes | Publication of notification under Section 3A | https://egazette.gov.in/RecentUploads.aspx?Category=6
3 | CG-DL-E-12092026-276152 | Yes | Publication of notification under Section 3A | https://egazette.gov.in/RecentUploads.aspx?Category=6
4 | CG-DL-E-12092026-276151 | No | 20E DFCCIL Maharashtra | https://egazette.gov.in/RecentUploads.aspx?Category=6
5 | CG-OR-E-12092026-276150 | No | Request for Publication of e Gazette Notification for Competent Authority to perform the function of such authority under Clause 7A of Section 2 of the Railways Act 1989 | https://egazette.gov.in/RecentUploads.aspx?Category=6
6 | CG-UP-E-12092026-276149 | No | Publicationofnotificationundersection7AforacquisitionoflandintheextraordinaryGazetteofIndia | https://egazette.gov.in/RecentUploads.aspx?Category=6
7 | CG-DL-E-12092026-276148 | Yes | Publication of notification under Section 3A | https://egazette.gov.in/RecentUploads.aspx?Category=6
8 | CG-DL-E-12092026-276147 | No | Kasauli Cantt Board | https://egazette.gov.in/RecentUploads.aspx?Category=6
9 | CG-DL-E-12092026-276146 | Yes | Publication of notification under Section 3A | https://egazette.gov.in/RecentUploads.aspx?Category=6
10 | CG-DL-E-12092026-276145 | Yes | Publication of notification under Section 3A | https://egazette.gov.in/RecentUploads.aspx?Category=6
11 | CG-DL-E-12092026-276144 | Yes | Publication of notification under Section 3A | https://egazette.gov.in/RecentUploads.aspx?Category=6
